time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/explained_variance
545,136.75330088,348160,1026.63,637,170,3.2581843678839504,0.017433178,0.208251953125,-2.9477170422673225,1690,0.0003,0.2,2.9484925270080566,-0.006080104061402381,0.5158971548080444,0.4118250012397766
546,141.05830866,350208,1041.89,641,171,15.471192075312137,0.010312467,0.159130859375,-2.9493357673287393,1700,0.0003,0.2,6.463049411773682,-0.00730696702376008,0.5146034955978394,0.7455885410308838
546,141.17668744000002,352256,1040.29,645,172,13.349446403235197,0.012025787,0.104833984375,-2.9378245271742345,1710,0.0003,0.2,11.715418815612793,-0.008359918191854377,0.5134761333465576,0.9275650754570961
546,141.38956397,354304,1037.26,648,173,1.4290250894613563,0.018752659,0.248046875,-2.879422314465046,1720,0.0003,0.2,0.51259845495224,-0.009872554882895202,0.5020833015441895,0.49308544397354126
546,137.70291166,356352,1022.29,651,174,3.7400570964440703,0.016599076,0.23291015625,-2.822844845801592,1730,0.0003,0.2,0.38989755511283875,-0.006453021982451901,0.49894624948501587,0.43172186613082886
546,141.30783295,358400,1033.42,655,175,20.485209403559566,0.012744619,0.147265625,-2.8130467563867567,1740,0.0003,0.2,4.877281188964844,-0.009477731966762803,0.49859321117401123,0.8960520029067993
547,141.31538276999999,360448,1033.46,658,176,2.3658745330758393,0.020776069,0.260986328125,-2.804878120869398,1750,0.0003,0.2,1.7810695171356201,-0.008681910266750493,0.4956878423690796,0.29025036096572876
547,141.43526653,362496,1031.75,662,177,3.092810397967696,0.018313885,0.249609375,-2.803624310344458,1760,0.0003,0.2,0.7185431718826294,-0.0008529808110324666,0.4984755218029022,0.3917202353477478
547,142.22080629,364544,1027.81,665,178,1.4765740611590445,0.018063944,0.21728515625,-2.7862283140420914,1770,0.0003,0.2,1.386654257774353,-0.005257110318052582,0.49365824460983276,0.49126893281936646
546,142.30392691999998,366592,1026.54,670,179,7.044397977180779,0.01125612,0.1130859375,-2.7647120408713817,1780,0.0003,0.2,2.207120180130005,-0.006326272283331491,0.4928465485572815,0.8800595700740814
546,142.53062368,368640,1018.72,674,180,2.031955828750506,0.018037796,0.223779296875,-2.746131803840399,1790,0.0003,0.2,0.6754047274589539,-0.005477665227954276,0.4901501536369324,0.4002301096916199
546,146.30360671999998,370688,1031.07,678,181,7.861371034942567,0.014334175,0.1455078125,-2.7362578444182875,1800,0.0003,0.2,0.35901662707328796,-0.005045453243656084,0.4898551106452942,0.9141071736812592
546,151.71400479,372736,1046.1,682,182,1.6842950596939772,0.018431911,0.22158203125,-2.745833740383387,1810,0.0003,0.2,0.22348612546920776,-0.008046877401648089,0.4919402003288269,0.5326695740222931
546,151.84443491,374784,1044.05,685,183,7.968381515517831,0.012141924,0.12412109375,-2.7496631726622582,1820,0.0003,0.2,2.5306804180145264,-0.006195075644063764,0.4900188744068146,0.8897146135568619
546,153.10308208,376832,1038.33,689,184,1.7790584609843791,0.023378875,0.235205078125,-2.722526651620865,1830,0.0003,0.2,2.935129165649414,-0.010164586806786247,0.48616790771484375,0.5433234870433807
547,155.20692885,378880,1044.99,692,185,8.022303168382496,0.018886084,0.139892578125,-2.704876019060612,1840,0.0003,0.2,3.172980785369873,-0.004911313392221927,0.48433372378349304,0.94338533654809
547,155.27137304,380928,1043.9,696,186,15.890934001654387,0.014087062,0.147412109375,-2.6916967809200285,1850,0.0003,0.2,8.684304237365723,-0.013055200457165484,0.48326390981674194,0.9243907630443573
